W,nS,n_sa,nnz,csr_gb,stream,build_sec,solve_sec,pi_iters,gstar,dgstar,B1,B2,INDEX,B_fast,B_fast_hold,gap_B1,gap_B2,gap_INDEX,gap_B_fast,gap_B_fast_hold,cost_full_inspection,cost_forced_disposal,B_fast_thr,B_fast_hold_thr,forced_units,forced_value,forced_prob,forced_units_bfast,forced_value_bfast,dcl_gap_mean,dcl_gap_sd,dcl_seeds,wall_sec
4,4845,201000,39270210,0.471,False,7.8,0.1,49,8045931.4,,5412536.17,7423651.8,6951241.92,7651535.11,7621998.64,32.7295,7.7341,13.6055,4.9018,5.2689,5.2689,-0.3671,0,0,1.365533,1700121.707916,0.804815,1.382614,1758043.41,3.264e-02,9.460e-03,3,12.8
5,20349,1912352,500560760,6.007,False,79.1,0.5,59,8189573.16,143641.76,5412536.17,7423651.8,6948241.95,7861180.86,7622265.13,33.9094,9.3524,15.1575,4.0099,6.9272,6.9272,-2.9173,0,0,0.955974,1151855.888002,0.628752,0.88908,1065357.97,3.218e-03,4.286e-04,3,154.7
6,74613,15496916,5484756410,65.817,True,586.6,1082.3,6,8280432.95,90859.79,5412536.17,7423651.8,6945241.95,7977302.11,7619411.47,34.6346,10.3471,16.1247,3.6608,7.9829,7.9829,-4.3221,0,0,0.624698,723291.845907,0.459567,0.454715,505468.61,2.806e-04,5.576e-05,3,2715.9
