W,model,reg_emp,ratio_emp,sell,fast,pu,hold,scr_sell,scr_ps,scr_hold,handled,fast_rate,prec_rate
4,아이오닉_28.0,R1,0.6337058823529411,0.213255,0.0,0.0,0.0,0.0,0.0,0.0,0.213255,0.0,0.0
4,코나_64.0,R3,1.4195784615384615,0.0,1.312872,0.022261,0.0,0.45938,0.496602,0.16326,1.335132,0.983327,0.388623
4,볼트_60.0,R2,3.5334883720930232,0.0,0.483847,0.101348,0.0,0.100159,0.317414,0.083924,0.585195,0.826814,0.715594
4,포터2_58.8,R2,5.9148064285714295,0.0,0.090749,0.010136,0.0,0.018669,0.051718,0.029768,0.100885,0.89953,0.613115
5,아이오닉_28.0,R1,0.6337058823529411,0.356135,0.0,0.0,0.0,0.0,0.0,0.0,0.356135,0.0,0.0
5,코나_64.0,R3,1.4195784615384615,0.0,1.405829,0.010653,0.0,0.584081,0.439589,0.13577,1.416482,0.992479,0.31786
5,볼트_60.0,R2,3.5334883720930232,0.0,0.661215,0.066892,0.0,0.163905,0.406741,0.305488,0.728108,0.908128,0.6505
5,포터2_58.8,R2,5.9148064285714295,0.0,0.137268,0.006032,0.0,0.036625,0.069844,0.072768,0.143301,0.957904,0.52949
6,아이오닉_28.0,R1,0.6337058823529411,0.48502,0.0,0.0,0.0,0.0,0.0,0.0,0.48502,0.0,0.0
6,코나_64.0,R3,1.4195784615384615,0.005166,1.467181,0.002513,0.0,0.644688,0.423657,0.263765,1.474859,0.994794,0.288956
6,볼트_60.0,R2,3.5334883720930232,0.0,0.807349,0.0301,0.0,0.233447,0.463317,0.43951,0.837449,0.964058,0.58919
6,포터2_58.8,R2,5.9148064285714295,0.0,0.175421,0.002553,0.0,0.058282,0.077779,0.128366,0.177974,0.985653,0.451372
