NMAX,SMAX,nS,gstar,lost_per_period,lost_value,g_corrected_identity,g_corrected_eval,mismatch
2,2,1485,3993823.855624296,0.33897079091790255,150164.53651495045,4143988.392139246,4143988.392139249,2.7939677238464355e-09
2,3,5940,4101816.7407918787,0.3389707909179026,150164.53651495045,4251981.277306829,4251981.27730684,1.1175870895385742e-08
2,4,19305,4160185.7470373563,0.3389707909179026,150164.53651495045,4310350.283552307,4310350.283552049,2.5797635316848755e-07
3,2,3520,4233193.82448908,0.08776894464052737,45915.82552200333,4279109.650011084,4279109.650011068,1.5832483768463135e-08
3,3,14080,4344695.30186616,0.043710638900941,21361.60303366298,4366056.904899823,4366056.904899815,7.450580596923828e-09
