NMAX,SMAX,nS,g_orig,g_fixed,g_fixed_w2,g_reopt,uplift,policy_change,sec
2,2,1485,3993823.855624296,4143988.3921392495,4143988.392139246,4157546.746860391,13558.354721141513,0.06262626262626263,3.145512342453003
2,3,5940,4101816.740791878,4251981.27730684,4251981.277306829,4253964.6849144725,1983.4076076326892,0.06414141414141414,20.36264705657959
2,4,19305,4160185.747037355,4310350.283552049,4310350.283552307,4310973.8199547585,623.5364027097821,0.002331002331002331,111.25651812553406
3,2,3520,4233193.82448908,4279109.650011068,4279109.650011084,4301239.0678199595,22129.417808891274,0.13267045454545454,303.16767501831055
3,3,14080,4344695.301866161,4366056.904899815,4366056.904899823,4393699.415723822,27642.510824006982,0.07045454545454545,1850.7874240875244
