W,nS,n_sa,nnz,csr_gb,stream,build_sec,solve_sec,pi_iters,gstar,bench_B1,bench_B2,bench_INDEX,bench_B_fast,bench_B_fast_hold,gap_B1,gap_B2,gap_INDEX,gap_B_fast,gap_B_fast_hold,B_fast_thr,forced_units_opt,forced_value_opt,forced_prob_opt,forced_units_bfast,forced_value_bfast
4,1820,30089,2534035,0.03,False,0.5,0.1,69,4283758.668302222,1307134.5769014081,3195974.188966631,3416650.2430792786,3678281.3743682965,3878778.267440664,69.48626946299326,25.393225052211257,20.24176645708671,14.134253136484318,9.453856582963473,0,1.2221266092880987,310797.45342418796,0.7140346755288699,1.2507965638010816,314540.60770809674
5,6188,191720,20856430,0.25,False,4.6,0.0,109,4375450.102259195,1307134.5769014084,3195974.188966631,3413841.661254287,3759089.0437251925,3890017.829762822,70.12571172445801,26.956676129926848,21.97736046648999,14.086803508872253,11.094453396822603,0,0.8514358727904198,205135.8965437554,0.5531972311583732,0.6971975432022216,158998.1773148407
6,18564,1060850,151069345,1.81,False,29.4,0.4,149,4434439.18525789,1307134.5769014084,3195974.188966631,3410849.519809677,3781692.122943279,3888699.0461391653,70.52311414604752,27.928334216612665,23.082730931367713,14.719946199389586,12.30685812386413,0,0.6549004953577251,152006.80117055072,0.4554525796250324,0.27116369119045863,56450.3450234889
7,50388,5245160,990883180,11.89,True,134.1,44.3,7,4470329.721635315,1307134.5769014086,3195974.18896663,3407849.845488576,3784873.6246949625,3885899.452049396,70.75977258287698,28.50696955307596,23.76737158792992,15.33345725311738,13.073538328893688,0,0.5021917377634584,113491.0613646639,0.3693088506315492,0.05163809524840507,9910.864245166158
8,125970,23652230,6007752520,72.09,True,1002.2,643.6,7,4493099.229116099,1307134.5769014084,3195974.188966631,3404849.8590565724,3784903.403046553,3882923.901734386,70.90795216738283,28.869272054885016,24.22046152480838,15.761855902943525,13.580277137608364,0,0.31873855449146726,69999.70839556817,0.2522589064066307,0.0,0.0
