job,Mcyc,Cp,Cf,phi,NARR,NMAX,SMAX,seed,nS,nA,CAP,Hslot,lam_eff,selectivity,gstar,gap_B1,gap_B2,gap_INDEX,gap_B_fast,gap_DCL
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX2_phi1.0_seed0,1,500000,20000,1.0,4,2,2,0,1485,78000,1,2,3.6,0.125,3993823.855624249,71.03101983936597,23.737005873144362,20.287669376602647,10.50212647241808,0.5221744386694243
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX2_phi1.0_seed1,1,500000,20000,1.0,4,2,2,1,1485,78000,1,2,3.6,0.125,3993823.855624296,71.03101983936631,23.737005873145254,20.2876693766036,10.502126472419006,0.6013571147427973
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX2_phi1.0_seed2,1,500000,20000,1.0,4,2,2,2,1485,78000,1,2,3.6,0.125,3993823.855624296,71.03101983936631,23.737005873145254,20.287669376603567,10.502126472419112,0.8473304654109739
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX3_phi1.0_seed0,1,500000,20000,1.0,4,2,3,0,5940,559800,1,2,3.6,0.1111111111111111,4101816.7407918903,71.79371694301743,25.744862705307956,22.433928324928633,12.877558361027967,0.8925094048244195
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX3_phi1.0_seed1,1,500000,20000,1.0,4,2,3,1,5940,559800,1,2,3.6,0.1111111111111111,4101816.7407918787,71.79371694301734,25.744862705307746,22.433928324928427,12.877558361027539,1.348431373957121
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX3_phi1.0_seed2,1,500000,20000,1.0,4,2,3,2,5940,559800,1,2,3.6,0.1111111111111111,4101816.7407918787,71.79371694301734,25.744862705307746,22.433928324928367,12.87755836102755,1.267480614149187
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX4_phi1.0_seed0,1,500000,20000,1.0,4,2,4,0,19305,3237300,1,2,3.6,0.1,4160185.747037372,72.18946194384758,26.78669084377498,23.59314441268661,14.102172017284662,1.3376734583025065
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX4_phi1.0_seed1,1,500000,20000,1.0,4,2,4,1,19305,3237300,1,2,3.6,0.1,4160185.747037356,72.18946194384745,26.786690843774696,23.593144412683298,14.102172017284303,1.022493961962094
Cf20000_Cp500000_Mcyc1_NARR4_NMAX2_SMAX4_phi1.0_seed2,1,500000,20000,1.0,4,2,4,2,19305,3237300,1,2,3.6,0.1,4160185.7470373563,72.18946194384748,26.786690843774704,23.593144412683326,14.102172017284358,1.3579727976934672
Cf20000_Cp500000_Mcyc1_NARR4_NMAX3_SMAX2_phi1.0_seed0,1,500000,20000,1.0,4,3,2,0,3520,436000,1,2,3.6,0.09090909090909091,4233193.82448908,69.55851103629782,24.938782047318814,21.54637021453347,11.378319207542075,2.9263415387611658
Cf20000_Cp500000_Mcyc1_NARR4_NMAX3_SMAX2_phi1.0_seed1,1,500000,20000,1.0,4,3,2,1,3520,436000,1,2,3.6,0.09090909090909091,4233193.824489081,69.55851103629783,24.93878204731883,21.546370214533525,11.378319207542138,3.228766820846983
Cf20000_Cp500000_Mcyc1_NARR4_NMAX3_SMAX2_phi1.0_seed2,1,500000,20000,1.0,4,3,2,2,3520,436000,1,2,3.6,0.09090909090909091,4233193.82448908,69.55851103629782,24.938782047318814,21.546370214533503,11.378319207542154,2.7983402851014723
Cf20000_Cp500000_Mcyc1_NARR4_NMAX3_SMAX3_phi1.0_seed0,1,500000,20000,1.0,4,3,3,0,14080,3108000,1,2,3.6,0.08333333333333333,4344695.301866161,70.33975592395494,26.865139619932027,23.60790866846938,13.395535430841756,1.341241931588729
Cf20000_Cp500000_Mcyc1_NARR4_NMAX3_SMAX3_phi1.0_seed1,1,500000,20000,1.0,4,3,3,1,14080,3108000,1,2,3.6,0.08333333333333333,4344695.30186616,70.33975592395494,26.865139619932012,23.607908668469374,13.395535430841845,1.6506470567318707
Cf20000_Cp500000_Mcyc1_NARR4_NMAX3_SMAX3_phi1.0_seed2,1,500000,20000,1.0,4,3,3,2,14080,3108000,1,2,3.6,0.08333333333333333,4344695.301866162,70.33975592395495,26.865139619932044,23.607908668469374,13.39553543084184,1.2368768813598319
